,group,variable,month,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,10,1,0,0,10,1,11
COBIJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,1,1,0,0,1,1,2
COCHABAMBA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,1,1,6,6,7,7,14
COLQUIRI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,0,2,0,0,0,2,2
COPACABANA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,0,0,0,2,0,2,2
CULPINA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,0,7,2,1,2,8,10
MONTERO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,4,3,0,0,4,3,7
ORURO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,2,2,0,0,2,2,4
PAILON,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,0,0,3,4,3,4,7
PORTACHUELO,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,3,4,0,0,3,4,7
PUCARANI,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,1,0,0,0,1,0,1
SAN BORJA,otras vacunaciones,hepatitis b  1ra. dosis  poblacion vulnerable (vih),2019-01-01,2,0,0,0,2,0,2
