,group,variable,month,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS DENTRO,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,DT 5TA. DOSIS DE 7 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,0,0,1,0,1,1
ACHOCALLA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
AIQUILE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
ANCORAIMES,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,1,0,1,0,2,2
ANDAMARCA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,1,2,0,0,1,2,3
APOLO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,0,0,2,0,2,2
ARANI,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,1,0,0,0,1,1
ARBIETO,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,1,1,0,0,1,1,2
ARQUE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,1,3,0,0,1,3,4
ASCENCION DE GUARAYOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,6,0,2,0,8,8
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,1,3,1,3,2,5
BELLA FLOR,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,1,0,4,4,5,4,9
BETANZOS,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,3,0,0,0,3,3
BOLIVAR,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,0,0,0,2,0,2,2
BOYUIBE,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,1,0,0,1,1,1,2
BUENA VISTA,otras vacunaciones,dt 5ta. dosis de 7 a 49 anos,2019-01-01,1,5,0,28,1,33,34
