,group,variable,month,TOTAL TRATAMIENTOS DE LEISHMANIA VISCERAL INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA VISCERAL INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA VISCERAL CONCLUIDO,TOTAL TRATAMIENTOS DE LEISHMANIA VISCERAL CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
SUCRE,leishmaniasis,total tratamientos de leishmania visceral,2015-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,leishmaniasis,total tratamientos de leishmania visceral,2015-09-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERMEJO,leishmaniasis,total tratamientos de leishmania visceral,2015-12-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
MONTERO,leishmaniasis,total tratamientos de leishmania visceral,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
