,group,variable,month,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
COLQUIRI,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
ENTRE RIOS CBBA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
BAURES,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CONCEPCION,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-03-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA ASUNTA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
COBIJA,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-04-01,1.0,0.0,1.0,0.0,2.0,0.0,2.0
INQUISIVI,leishmaniasis,total tratamientos de leishmania mucosa y cutanea,2015-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
