,group,variable,month,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTAL TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CAJUATA,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,1,0,2,0,3,0,3
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,3,1,1,1,4,2,6
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,0,1,0,1,0,2,2
PALOS BLANCOS,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,2,0,0,0,2,0,2
PUERTO RICO,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,0,0,2,0,2,0,2
RIBERALTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,2,0,0,0,2,0,2
RURRENABAQUE,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,1,0,1,0,2,0,2
SANTA ROSA,leishmaniasis,total tratamientos de leishmania mucosa,2015-01-01,2,0,1,0,3,0,3
CAJUATA,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,0,0,0,1,0,1,1
FILADELFIA,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,0,1,1,1,2
ORURO,leishmaniasis,total tratamientos de leishmania mucosa,2015-02-01,1,0,0,0,1,0,1
