,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,1,0,0,0,1
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,17,0,34,1,7,0,0,0,59
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,3,4,5,0,0,0,0,13
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,1,0,8,0,24,0,4,0,0,0,37
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,0,0,1,2,0,0,0,0,3
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,0,4,0,1,0,0,0,6
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,3,0,9,0,2,0,0,0,14
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,2,0,3,1,1,1,0,0,8
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,0,1,0,1,0,0,0,0,2
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,0,0,0,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,1,3,0,3,0,0,0,0,0,7
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,0,12,0,3,0,0,0,16
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,0,0,0,0,0,0,0,1
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,3,0,12,0,1,0,0,0,16
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,8,1,20,2,4,0,0,0,35
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,4,0,13,0,1,0,0,0,18
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,14,0,19,0,4,0,0,0,37
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,3,5,17,0,0,0,0,0,25
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,0,2,2,0,0,0,0,5
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,0,4,0,1,0,0,0,6
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,1,0,2,0,1,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,7,1,19,0,2,0,0,0,29
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,1,0,3,1,7,4,1,1,0,0,18
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,6,2,9,1,2,0,0,0,20
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,5,0,6,0,0,0,0,0,11
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,0,0,0,0,0,1,0,0,1
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2015-01-01,0,0,0,0,3,0,1,0,0,0,4
