,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2015-01-01,0,0,2,0,8,3,2,1,0,0,16
ACHACACHI,consultas prenatales,repetidas,2015-01-01,3,0,43,2,119,1,13,0,0,0,181
ACHOCALLA,consultas prenatales,repetidas,2015-01-01,0,0,1,9,2,26,0,10,0,0,48
AIQUILE,consultas prenatales,repetidas,2015-01-01,3,0,51,0,137,1,26,3,0,0,221
ALALAY,consultas prenatales,repetidas,2015-01-01,0,0,2,1,2,0,1,1,0,0,7
ALCALA,consultas prenatales,repetidas,2015-01-01,0,0,4,0,11,0,4,1,0,0,20
ALTO BENI,consultas prenatales,repetidas,2015-01-01,0,0,11,0,26,0,3,0,0,0,40
ANCORAIMES,consultas prenatales,repetidas,2015-01-01,0,0,3,0,17,2,9,0,0,0,31
ANDAMARCA,consultas prenatales,repetidas,2015-01-01,0,0,6,1,6,0,0,0,0,0,13
ANTEQUERA,consultas prenatales,repetidas,2015-01-01,0,0,6,0,12,3,1,2,0,0,24
ANZALDO,consultas prenatales,repetidas,2015-01-01,0,0,5,0,13,1,2,1,0,0,22
APOLO,consultas prenatales,repetidas,2015-01-01,1,0,12,0,48,3,14,1,0,0,79
ARAMPAMPA,consultas prenatales,repetidas,2015-01-01,0,0,4,0,6,6,1,1,0,0,18
ARANI,consultas prenatales,repetidas,2015-01-01,0,0,21,0,63,0,8,0,0,0,92
ARBIETO,consultas prenatales,repetidas,2015-01-01,0,0,22,4,55,5,14,0,0,0,100
ARQUE,consultas prenatales,repetidas,2015-01-01,1,0,3,0,27,0,8,0,0,0,39
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2015-01-01,4,0,48,0,97,1,15,0,0,0,165
ATOCHA,consultas prenatales,repetidas,2015-01-01,0,0,17,9,34,0,4,0,0,0,64
AUCAPATA,consultas prenatales,repetidas,2015-01-01,0,0,1,0,2,0,1,0,0,0,4
AYATA,consultas prenatales,repetidas,2015-01-01,0,0,2,0,6,1,8,1,0,0,18
AYO AYO,consultas prenatales,repetidas,2015-01-01,2,0,6,0,26,0,4,0,0,0,38
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2015-01-01,1,0,21,1,76,1,14,0,0,0,114
AZURDUY,consultas prenatales,repetidas,2015-01-01,0,0,11,2,19,7,7,5,0,0,51
BATALLAS,consultas prenatales,repetidas,2015-01-01,1,0,9,1,38,3,9,0,0,0,61
BAURES,consultas prenatales,repetidas,2015-01-01,1,0,5,4,21,0,2,0,0,0,33
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2015-01-01,0,0,0,2,2,3,0,0,0,0,7
BELEN DE URMIRI,consultas prenatales,repetidas,2015-01-01,0,0,1,1,2,5,0,0,0,0,9
BELLA FLOR,consultas prenatales,repetidas,2015-01-01,1,0,3,0,7,0,3,0,0,0,14
BERMEJO,consultas prenatales,repetidas,2015-01-01,2,0,52,1,135,1,27,0,0,0,218
BETANZOS,consultas prenatales,repetidas,2015-01-01,4,1,32,1,61,9,23,3,0,0,134
BOLIVAR,consultas prenatales,repetidas,2015-01-01,0,0,1,2,3,2,2,4,0,0,14
BOLPEBRA,consultas prenatales,repetidas,2015-01-01,0,0,0,0,2,1,0,0,0,0,3
BOYUIBE,consultas prenatales,repetidas,2015-01-01,1,0,9,0,13,0,2,0,0,0,25
BUENA VISTA,consultas prenatales,repetidas,2015-01-01,5,0,13,0,43,2,3,0,0,0,66
CABEZAS,consultas prenatales,repetidas,2015-01-01,2,1,53,14,95,3,18,1,0,0,187
CAIROMA,consultas prenatales,repetidas,2015-01-01,0,1,2,0,26,1,1,0,0,0,31
"CAIZA ""D""",consultas prenatales,repetidas,2015-01-01,0,0,9,0,29,1,8,0,0,0,47
CAJUATA,consultas prenatales,repetidas,2015-01-01,0,0,18,0,65,0,10,0,0,0,93
CALACOTO,consultas prenatales,repetidas,2015-01-01,0,0,3,3,2,3,0,0,0,0,11
