,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,3,0,1,0,0,0,4
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,1,0,14,1,20,0,3,0,0,0,39
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,1,1,7,0,2,0,0,11
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,7,0,14,0,3,0,0,0,24
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,4,0,0,0,0,0,4
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,5,0,7,0,1,0,0,0,13
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,1,0,5,2,1,0,0,0,9
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,1,1,1,0,0,0,0,0,3
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,2,0,4,2,0,1,0,0,9
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,1,1,0,0,0,0,2
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,3,0,0,0,0,0,3
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,1,0,0,3,0,1,0,0,5
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,4,0,9,0,3,0,0,0,16
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,5,1,7,1,3,0,0,0,17
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,7,0,1,0,0,0,8
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,1,0,9,0,10,0,1,0,0,0,21
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,3,2,9,0,1,0,0,0,15
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,1,0,1,0,0,0,0,0,2
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,2,0,1,0,0,0,3
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,1,0,3,0,2,0,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,1,0,2,0,10,0,0,0,0,0,13
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,3,2,6,4,0,0,0,0,15
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,1,0,7,2,3,0,0,0,13
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,2,2,8,0,0,0,0,0,12
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,0,1,0,0,0,0,1
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,0,1,0,0,0,0,1
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,0,0,1,0,1,0,0,0,2
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2015-01-01,0,0,10,0,28,0,8,0,0,0,46
