,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,1,0,0,0,2
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,12,1,21,0,5,0,0,0,41
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,7,0,0,0,0,8
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,2,0,5,1,12,1,2,1,0,0,24
ALCALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,2,0,0,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,6,0,1,0,0,0,8
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,1,1,0,0,0,0,4
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,2,0,1,0,0,3
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,1,0,0,0,0,3
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,2,2,1,6,3,1,0,0,0,15
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,1,1,1,0,0,5
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,5,0,3,0,1,0,0,0,9
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,2,1,2,0,0,0,9
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,3,0,5,0,6,0,0,0,14
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,4,0,10,0,1,0,0,0,15
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,5,16,7,0,0,0,0,0,28
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,3,1,0,0,0,0,4
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,1,0,0,0,2
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,3,0,3,0,0,0,7
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,11,1,2,0,0,0,16
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,1,0,0,0,0,0,1
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,2,0,2,0,0,0,0,0,4
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,0,0,0,0,0,2
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,0,0,1,0,0,0,2
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,0,0,0,1,0,0,0,0,1
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2015-01-01,0,0,1,0,1,0,0,0,0,0,2
