,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,1,1,1,0,2,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,0,0,2,0,2,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,0,1,2,1,2,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,2,0,0,0,2,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,0,0,1,1,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa,2024-01-01,0,0,1,0,1,0
ALTO BENI,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,1,0,0,1,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,1,0,1,1,2,1
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,2,0,0,0,2,0
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,0,1,0,0,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,0,0,2,0,2,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2024-02-01,0,0,1,0,1,0
