,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,1,0,1,0
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,1,0,1,1,2,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,2,0,0,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,5,2,5,2
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,1,1,1,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,4,0,0,0,4,0
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,1,2,1,0,2,2
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,1,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,1,0,1,0,2,0
CONCEPCION,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,1,0,0,0,1,0
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,2,0,0,0,2,0
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,1,0,0,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,1,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,1,0,0,1,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,0,1,0,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,1,0,1,0,2,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2024-01-01,0,0,1,0,1,0
