,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA (MUCOSA) CONCLUIDO,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO1,FEMENINO1,TOTAL Iniciado,TOTAL Concluido
municipality,,,,,,,,,
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-01-01,1,0,0,0,1,0
QUILLACOLLO,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-01-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-02-01,2,0,0,0,2,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-02-01,0,0,1,0,1,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-02-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-03-01,0,0,2,0,2,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-03-01,1,0,0,0,1,0
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-03-01,1,0,1,0,2,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-03-01,1,0,1,0,2,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-03-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-04-01,1,0,0,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-04-01,0,0,1,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa y cutanea (mucosa),2024-04-01,1,0,0,0,1,0
