municipality,group,variable,month,Niñas(os) de 1 año que reciben alimento complementario,TOTAL
ACACIO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,63,63
ACHACACHI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,136,136
AIQUILE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,211,211
ALALAY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,30,30
ALCALA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,44,44
ANCORAIMES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,84,84
ANTEQUERA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,36,36
ANZALDO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,78,78
APOLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,78,78
ARAMPAMPA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,46,46
ARANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,9,9
ARBIETO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,163,163
ARQUE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,207,207
ATOCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,125,125
AUCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,14,14
AYATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,102,102
AYO AYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,125,125
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,342,342
AZURDUY,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,56,56
BATALLAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,64,64
BAURES,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,4,4
BELEN DE ANDAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,14,14
BELEN DE URMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,18,18
BELLA FLOR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,44,44
BERMEJO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,164,164
BETANZOS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,498,498
BOLIVAR,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,97,97
BOYUIBE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,2,2
CABEZAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,13,13
CAIROMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,91,91
"CAIZA ""D""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,114,114
CAJUATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,27,27
CALAMARCA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,67,67
CAMARGO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,212,212
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,37,37
CAMIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,36,36
CAPINOTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,263,263
CAQUIAVIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,67,67
CARACOLLO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,273,273
CARANGAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,3,3
CARAPARI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,222,222
CARIPUYO,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,118,118
CARMEN RIVERO TORREZ,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,9,9
CATACORA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,17,17
CHACARILLA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,5,5
CHALLAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,486,486
CHAQUI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,121,121
CHARAGUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,88,88
CHARAÑA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,21,21
CHAYANTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,198,198
CHIMORE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,289,289
CHIPAYA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,9,9
CHOQUE COTA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,14,14
CHUA COCANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,17,17
CHUMA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,85,85
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,153,153
CKOCHAS,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,250,250
CLIZA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,192,192
COBIJA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,600,600
COCAPATA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,224,224
COCHABAMBA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,2234,2234
COIPASA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,14,14
COLCAPIRHUA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,360,360
"COLCHA ""K""",micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,160,160
COLLANA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,13,13
COLOMI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,329,329
COLPA BELGICA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,1,1
COLQUECHACA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,594,594
COLQUENCHA,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,68,68
COLQUIRI,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,33,33
COMANCHE,micronutrientes,ninas(os) de 1 ano que reciben alimento complementario,2015-01-01,37,37
