municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,11,11
ACHACACHI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,94,94
ACHOCALLA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,37,37
AIQUILE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,69,69
ALALAY,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,5,5
ALCALA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,4,4
ANCORAIMES,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,33,33
ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,8,8
ANTEQUERA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,7,7
ANZALDO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,6,6
APOLO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,42,42
ARAMPAMPA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,10,10
ARANI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,22,22
ARBIETO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,23,23
ARQUE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,21,21
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,89,89
ATOCHA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,23,23
AUCAPATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,5,5
AYATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,15,15
AYO AYO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,27,27
AZURDUY,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,24,24
BATALLAS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,28,28
BAURES,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,1,1
BELEN DE ANDAMARCA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,3,3
BELEN DE URMIRI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,3,3
BELLA FLOR,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,7,7
BERMEJO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,55,55
BETANZOS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,42,42
BOLIVAR,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,8,8
BOLPEBRA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,3,3
BOYUIBE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,7,7
BUENA VISTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,26,26
CABEZAS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,24,24
CAIROMA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,27,27
"CAIZA ""D""",nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,19,19
CAJUATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,32,32
CALACOTO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,5,5
CALAMARCA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,18,18
CAMARGO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,34,34
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,8,8
CAMIRI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,127,127
CAPINOTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,54,54
CAQUIAVIRI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,10,10
CARACOLLO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,43,43
CARANAVI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,202,202
CARANGAS,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,1,1
CARAPARI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,29,29
CARIPUYO,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,5,5
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,6,6
CATACORA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,3,3
CHALLAPATA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,62,62
CHAQUI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,6,6
CHARAGUA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,88,88
CHARAÑA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,3,3
CHAYANTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,28,28
CHIMORE,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,27,27
CHIPAYA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,4,4
CHOQUE COTA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,37,37
CHUMA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,14,14
CLIZA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,41,41
COBIJA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,128,128
COCHABAMBA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,1609,1609
COLCAPIRHUA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,83,83
"COLCHA ""K""",nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,7,7
COLLANA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,2,2
COLOMI,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,29,29
COLPA BELGICA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,11,11
COLQUECHACA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,54,54
COLQUENCHA,nutricion y micronutrientes,mujeres embarazadas con dosis completa de hierro,2009-01-01,15,15
