municipality,group,variable,month,Niños de 6 a 11 meses con dosis única de vitamina A,TOTAL
ACACIO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
ACHACACHI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,74,74
ACHOCALLA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,13,13
AIQUILE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,36,36
ALALAY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
ALCALA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
ANCORAIMES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,32,32
ANDAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
ANTEQUERA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
ANZALDO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,17,17
APOLO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,18,18
ARAMPAMPA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
ARANI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,22,22
ARBIETO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,24,24
ARQUE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,16,16
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,34,34
ATOCHA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,5,5
AUCAPATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
AYATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,15,15
AYO AYO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,41,41
AZURDUY,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,29,29
BATALLAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,24,24
BAURES,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
BELLA FLOR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,2,2
BERMEJO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,67,67
BETANZOS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,42,42
BOLIVAR,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,6,6
BOYUIBE,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,7,7
BUENA VISTA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,27,27
CABEZAS,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,19,19
CAIROMA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,23,23
"CAIZA ""D""",nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,22,22
CAJUATA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,14,14
CALACOTO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,8,8
CALAMARCA,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,4,4
CAMARGO,nutricion y micronutrientes,ninos de 6 a 11 meses con dosis unica de vitamina a,2009-01-01,34,34
