municipality,group,variable,month,Niños de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
ACACIO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,32,32
ACHACACHI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,204,204
ACHOCALLA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,1,1
AIQUILE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,123,123
ALALAY,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,7,7
ALCALA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,6,6
ANCORAIMES,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,90,90
ANDAMARCA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,8,8
ANTEQUERA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,16,16
ANZALDO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,10,10
APOLO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,78,78
ARAMPAMPA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,13,13
ARANI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,68,68
ARBIETO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,20,20
ARQUE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,36,36
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,1,1
ATOCHA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,9,9
AUCAPATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,16,16
AYATA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,18,18
AYO AYO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,90,90
AZURDUY,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,140,140
BATALLAS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,39,39
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,1,1
BELEN DE URMIRI,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,8,8
BELLA FLOR,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,5,5
BERMEJO,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,138,138
BETANZOS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,101,101
BOLIVAR,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,21,21
BOLPEBRA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,6,6
BOYUIBE,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,27,27
BUENA VISTA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,44,44
CABEZAS,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,83,83
CAIROMA,nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,38,38
"CAIZA ""D""",nutricion y micronutrientes,ninos de 6 meses a menores de 2 anos con dosis completa de hierro,2009-01-01,3,3
