,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COBIJA,malaria,de 1 a menores de 5 anos,2017-01-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-01-01,2,3,0,0,2,3,5
PORVENIR,malaria,de 1 a menores de 5 anos,2017-01-01,1,1,0,0,1,1,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2017-01-01,2,0,0,0,2,0,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-01-01,1,1,0,0,1,1,2
SENA,malaria,de 1 a menores de 5 anos,2017-01-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,de 1 a menores de 5 anos,2017-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-02-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-02-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2017-02-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2017-02-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2017-02-01,11,4,0,0,11,4,15
SAIPINA,malaria,de 1 a menores de 5 anos,2017-02-01,2,1,0,0,2,1,3
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2017-02-01,1,3,0,0,1,3,4
SENA,malaria,de 1 a menores de 5 anos,2017-02-01,1,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2017-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2017-03-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2017-03-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2017-03-01,1,0,0,0,1,0,1
