,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CONCEPCION,malaria,mujer embarazada,2017-01-01,0,2,0,0,0,2,2
EL VILLAR,malaria,mujer embarazada,2017-01-01,0,1,0,0,0,1,1
LAS CARRERAS,malaria,mujer embarazada,2017-01-01,0,0,0,1,0,1,1
PUERTO GONZALO MORENO,malaria,mujer embarazada,2017-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2017-02-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2017-02-01,0,2,0,0,0,2,2
SENA,malaria,mujer embarazada,2017-02-01,0,1,0,0,0,1,1
COBIJA,malaria,mujer embarazada,2017-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2017-03-01,0,6,0,0,0,6,6
SAIPINA,malaria,mujer embarazada,2017-03-01,0,12,0,0,0,12,12
SENA,malaria,mujer embarazada,2017-03-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2017-04-01,0,3,0,0,0,3,3
SAIPINA,malaria,mujer embarazada,2017-04-01,0,5,0,0,0,5,5
BELLA FLOR,malaria,mujer embarazada,2017-05-01,0,2,0,0,0,2,2
CULPINA,malaria,mujer embarazada,2017-05-01,0,3,0,0,0,3,3
GUAYARAMERIN,malaria,mujer embarazada,2017-05-01,0,0,0,1,0,1,1
MIZQUE,malaria,mujer embarazada,2017-05-01,0,4,0,2,0,6,6
RIBERALTA,malaria,mujer embarazada,2017-05-01,0,1,0,0,0,1,1
SAIPINA,malaria,mujer embarazada,2017-05-01,0,7,0,0,0,7,7
CULPINA,malaria,mujer embarazada,2017-06-01,0,4,0,0,0,4,4
RIBERALTA,malaria,mujer embarazada,2017-06-01,0,2,0,0,0,2,2
SAIPINA,malaria,mujer embarazada,2017-06-01,0,6,0,0,0,6,6
CULPINA,malaria,mujer embarazada,2017-07-01,0,3,0,0,0,3,3
POROMA,malaria,mujer embarazada,2017-07-01,0,4,0,0,0,4,4
RIBERALTA,malaria,mujer embarazada,2017-07-01,0,3,0,0,0,3,3
SAIPINA,malaria,mujer embarazada,2017-07-01,0,6,0,0,0,6,6
CULPINA,malaria,mujer embarazada,2017-08-01,0,1,0,0,0,1,1
POROMA,malaria,mujer embarazada,2017-08-01,0,0,0,3,0,3,3
PORVENIR,malaria,mujer embarazada,2017-08-01,0,1,0,0,0,1,1
SAIPINA,malaria,mujer embarazada,2017-08-01,0,11,0,0,0,11,11
SUCRE,malaria,mujer embarazada,2017-08-01,0,1,0,1,0,2,2
COBIJA,malaria,mujer embarazada,2017-09-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,mujer embarazada,2017-09-01,0,2,0,0,0,2,2
PORVENIR,malaria,mujer embarazada,2017-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2017-09-01,0,2,0,0,0,2,2
SAIPINA,malaria,mujer embarazada,2017-09-01,0,20,0,0,0,20,20
SAN LORENZO(PND),malaria,mujer embarazada,2017-09-01,0,8,0,0,0,8,8
SANTA CRUZ DE LA SIERRA,malaria,mujer embarazada,2017-09-01,0,0,0,1,0,1,1
SENA,malaria,mujer embarazada,2017-09-01,0,1,0,0,0,1,1
SUCRE,malaria,mujer embarazada,2017-09-01,0,1,0,0,0,1,1
CULPINA,malaria,mujer embarazada,2017-10-01,0,2,0,0,0,2,2
SAIPINA,malaria,mujer embarazada,2017-10-01,0,3,0,0,0,3,3
YACUIBA,malaria,mujer embarazada,2017-10-01,0,1,0,0,0,1,1
CULPINA,malaria,mujer embarazada,2017-11-01,0,2,0,0,0,2,2
LA PAZ,malaria,mujer embarazada,2017-11-01,0,0,0,0,0,0,0
SAIPINA,malaria,mujer embarazada,2017-11-01,0,11,0,0,0,11,11
LA PAZ,malaria,mujer embarazada,2017-12-01,0,0,0,0,0,0,0
RIBERALTA,malaria,mujer embarazada,2017-12-01,0,2,0,0,0,2,2
SAIPINA,malaria,mujer embarazada,2017-12-01,0,7,0,0,0,7,7
YOTALA,malaria,mujer embarazada,2017-12-01,0,1,0,0,0,1,1
