,group,variable,month,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO VIVAX,MENORES DE 1 AÑO FALCIPARUM,MENORES DE 1 AÑO FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
RIBERALTA,malaria,menores de 1 ano,2017-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAIPINA,malaria,menores de 1 ano,2017-02-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
MINEROS,malaria,menores de 1 ano,2017-03-01,2.0,1.0,1.0,0.0,3.0,1.0,4.0
PUERTO GONZALO MORENO,malaria,menores de 1 ano,2017-03-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2017-03-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
SAN LORENZO(PND),malaria,menores de 1 ano,2017-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2017-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),malaria,menores de 1 ano,2017-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SENA,malaria,menores de 1 ano,2017-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,malaria,menores de 1 ano,2017-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
YOTALA,malaria,menores de 1 ano,2017-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAIPINA,malaria,menores de 1 ano,2017-07-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
ALALAY,malaria,menores de 1 ano,2017-08-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAIPINA,malaria,menores de 1 ano,2017-08-01,1.0,2.0,0.0,0.0,1.0,2.0,3.0
GUAYARAMERIN,malaria,menores de 1 ano,2017-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
POROMA,malaria,menores de 1 ano,2017-10-01,3.0,7.0,0.0,0.0,3.0,7.0,10.0
COBIJA,malaria,menores de 1 ano,2017-11-01,4.0,0.0,7.0,1.0,11.0,1.0,12.0
LA PAZ,malaria,menores de 1 ano,2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAIPINA,malaria,menores de 1 ano,2017-11-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA PAZ,malaria,menores de 1 ano,2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAIPINA,malaria,menores de 1 ano,2017-12-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
