,group,variable,month,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE VIVAX,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TRATAMIENTOS ESPECÍFICOS PARA MALARIA GRAVE FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-01-01,4,3,0,0,4,3,7
GRAL. J.J. PEREZ (CHARAZANI),malaria,tratamientos especificos para malaria grave,2017-02-01,1,0,0,0,1,0,1
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-02-01,10,11,0,0,10,11,21
SAN LORENZO(PND),malaria,tratamientos especificos para malaria grave,2017-02-01,2,3,0,0,2,3,5
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-03-01,53,29,0,0,53,29,82
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-04-01,10,5,0,0,10,5,15
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-05-01,13,3,0,0,13,3,16
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-06-01,6,6,0,0,6,6,12
SAN BORJA,malaria,tratamientos especificos para malaria grave,2017-06-01,1,1,0,0,1,1,2
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-07-01,2,3,0,0,2,3,5
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-08-01,14,3,0,0,14,3,17
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-09-01,12,3,0,0,12,3,15
ENTRE RIOS TRJ,malaria,tratamientos especificos para malaria grave,2017-10-01,1,0,0,0,1,0,1
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-10-01,9,4,0,0,9,4,13
LA PAZ,malaria,tratamientos especificos para malaria grave,2017-11-01,0,0,0,0,0,0,0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-11-01,8,6,0,0,8,6,14
LA PAZ,malaria,tratamientos especificos para malaria grave,2017-12-01,0,0,0,0,0,0,0
RIBERALTA,malaria,tratamientos especificos para malaria grave,2017-12-01,7,3,5,1,12,4,16
