,group,variable,month,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS VIVAX,DE 5 AÑOS Y MÁS FALCIPARUM,DE 5 AÑOS Y MÁS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BELLA FLOR,malaria,de 5 anos y mas,2017-01-01,3,2,0,0,3,2,5
COBIJA,malaria,de 5 anos y mas,2017-01-01,4,3,0,0,4,3,7
CONCEPCION,malaria,de 5 anos y mas,2017-01-01,5,16,0,0,5,16,21
EUREKA (SANTOS MERCADO),malaria,de 5 anos y mas,2017-01-01,1,0,0,0,1,0,1
FILADELFIA,malaria,de 5 anos y mas,2017-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,de 5 anos y mas,2017-01-01,8,2,0,0,8,2,10
INGAVI (HUMAITA),malaria,de 5 anos y mas,2017-01-01,3,1,0,0,3,1,4
IXIAMAS,malaria,de 5 anos y mas,2017-01-01,4,1,0,0,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 5 anos y mas,2017-01-01,40,19,0,0,40,19,59
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 5 anos y mas,2017-01-01,1,0,0,0,1,0,1
PORVENIR,malaria,de 5 anos y mas,2017-01-01,6,0,0,0,6,0,6
PUERTO GONZALO MORENO,malaria,de 5 anos y mas,2017-01-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,de 5 anos y mas,2017-01-01,3,3,0,0,3,3,6
RIBERALTA,malaria,de 5 anos y mas,2017-01-01,43,35,0,0,43,35,78
SAN LORENZO(PND),malaria,de 5 anos y mas,2017-01-01,25,20,0,0,25,20,45
SAN MATIAS,malaria,de 5 anos y mas,2017-01-01,9,17,0,0,9,17,26
SANTA ROSA,malaria,de 5 anos y mas,2017-01-01,2,1,0,0,2,1,3
SENA,malaria,de 5 anos y mas,2017-01-01,19,6,0,0,19,6,25
VILLA MONTES,malaria,de 5 anos y mas,2017-01-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,de 5 anos y mas,2017-01-01,1,2,0,0,1,2,3
YACUIBA,malaria,de 5 anos y mas,2017-01-01,0,1,0,0,0,1,1
BELLA FLOR,malaria,de 5 anos y mas,2017-02-01,1,2,0,0,1,2,3
