,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,3,6,3,6,9
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,114,205,114,205,319
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,1,1,1,2
BAURES,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,4,14,4,14,18
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,2,7,2,7,9
BETANZOS,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,6,0,6,6
CAJUATA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,7,5,7,5,12
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,7,1,7,1,8
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,1,1,1,2
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,13,67,13,67,80
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,45,271,45,271,316
COLPA BELGICA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
COLQUENCHA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,4,10,4,10,14
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,2,0,2,0,2
COPACABANA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,2,0,2,2
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,3,5,3,5,8
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,4,0,4,4
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,4,4,4,4,8
CUEVO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,41,192,41,192,233
EL CHORO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,2,2,2,2,4
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,0,1,0,1
EL VILLAR,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,1,1,1,2
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,2,5,2,5,7
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,0,1,0,1
GUANAY,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,3,32,3,32,35
HUACAYA (VILLA DE HUACAYA),internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,1,0,1,0,1
ICHOCA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,0,1,0,1,1
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecimientos de salud,2010-01-01,7,3,7,3,10
