municipality,group,variable,month,Nacidos muertos atendidos por partera capacitada,TOTAL
CURVA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,3,3
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-02-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-02-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-02-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,9,9
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
TARATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacitada,2013-03-01,1,1
