municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,3,3
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,2,2
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
QUIABAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,3,3
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
WARNES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-01-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-02-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-02-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-02-01,1,1
AYATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
MONTERO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,2,2
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
SANTA ROSA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
VINTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-04-01,1,1
AYO AYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,2,2
COPACABANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,8,8
FERNANDEZ ALONSO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,2,2
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,1,1
TARIJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-05-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
UMALA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,2,2
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-06-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
CHARAÑA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
LAS CARRERAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
TARIJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-07-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
CORIPATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,2,2
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,2,2
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-08-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,4,4
CKOCHAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,2,2
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,2,2
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
TEOPONTE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
YOCALLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-09-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,11,11
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
SAN PEDRO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,4,4
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
VIACHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-10-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
CHIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,3,3
MAPIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
PORCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,4,4
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-11-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
TITO YUPANQUI (PARQUIPUJIO),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2013-12-01,1,1
