municipality,group,variable,month,Nacidos muertos con peso menor a 2500 g.,TOTAL
PRESTO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-01-01,1.0,1.0
PUCARANI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-01-01,1.0,1.0
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-01-01,3.0,3.0
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-01-01,1.0,1.0
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-01-01,1.0,1.0
WARNES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-01-01,1.0,1.0
CHARAGUA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-03-01,1.0,1.0
CARIPUYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-04-01,1.0,1.0
FERNANDEZ ALONSO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-05-01,1.0,1.0
MOJOCOYA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-06-01,2.0,2.0
SAN LUCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-06-01,1.0,1.0
MIZQUE,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-07-01,1.0,1.0
TARIJA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-07-01,1.0,1.0
CONCEPCION,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-08-01,1.0,1.0
TOMINA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-08-01,1.0,1.0
CKOCHAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-09-01,1.0,1.0
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-09-01,1.0,1.0
SACABA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-09-01,1.0,1.0
SAN PEDRO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-10-01,1.0,1.0
VIACHA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-10-01,1.0,1.0
CALAMARCA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-11-01,1.0,1.0
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-11-01,1.0,1.0
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-11-01,1.0,1.0
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-11-01,1.0,1.0
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-12-01,1.0,1.0
MOROCHATA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500 g.,2013-12-01,1.0,1.0
