municipality,group,variable,month,Nacidos vivos atendidos por personal de salud,TOTAL
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,3,3
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,16,16
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,17,17
AIQUILE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
ALALAY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,4,4
ALTO BENI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,2,2
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,6,6
ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
ANTEQUERA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,3,3
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,4,4
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,8,8
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,6,6
ARANI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,3,3
ARBIETO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,16,16
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,3,3
ATOCHA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,2,2
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,4,4
AYATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,5,5
AYO AYO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,10,10
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,5,5
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,11,11
BELEN DE ANDAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,4,4
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,12,12
BOLIVAR,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,9,9
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,8,8
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,4,4
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,5,5
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por personal de salud,2013-01-01,1,1
