municipality,group,variable,month,Nacidos vivos con peso menor a 2500 g.,TOTAL
ALALAY,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,2,2
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,2,2
BELEN DE ANDAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,3,3
BOLIVAR,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,5,5
EL ALTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,2,2
EXALTACION,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
FILADELFIA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,5,5
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
TACACHI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
TARIJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
TIAWANACU,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
TOMAVE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-01-01,2,2
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
AUCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
AYATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
EL CHORO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
PUNATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-02-01,1,1
ALTO BENI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500 g.,2013-03-01,1,1
