,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,2,0,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,3,0,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,2,0,0,3
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,4,2,6
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,10,3,0,0,13
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,1,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,1,4,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,2,0,0,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,1,1,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,43,29,6,8,86
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,1,1,1,4
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,2,1,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,0,4,7,13
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,2,1,0,0,3
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,6,3,0,0,9
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,4,0,0,5
CULPINA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,18,15,11,11,55
EL CHORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,2,2
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,1,2,0,3,6
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
