,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,8,4,1,0,13
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,5,1,2,8,16
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,1,1,0,2
ALCALA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,2,2,1,6
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,5,6,5,9,25
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,2,0,0,3
APOLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,3,1,0,4
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,3,1,4,8
ARQUE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,2,0,0,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,8,8,4,4,24
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,0,1,1,2
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,1,0,0,1
AZURDUY,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,3,1,5,7,16
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,2,0,1,4
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,1,0,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,5,1,0,1,7
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,2,2,6,5,15
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,1,1,1,3
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,0,1,1,2
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,2,0,1,1,4
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,5,5,0,0,10
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,3,5,8,7,23
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,3,0,0,3
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,3,0,1,4
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,2,2,0,0,4
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,8,0,1,10
CAMARGO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,11,8,0,0,19
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,7,3,7,7,24
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,2,2,0,0,4
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,1,0,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,1,3,0,1,5
CARIPUYO,vacunaciones en ninos de 2 a 3 anos,srp 2da. dosis,2021-01-01,0,1,0,0,1
