,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,2,0,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,5,2,0,0,7
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,2,1,3
AYO AYO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,4,2,6
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,2,1,0,0,3
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,1,0,1,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
CARAPARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,1,1,2
CATACORA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,1,0,0,2
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,3,1,2,7
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,1,4,5
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,2,0,0,2
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,1,1,1,3
COCAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,47,41,12,16,116
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,1,1,3
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,2,0,0,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,1,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,2,1,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,4,7,12
CORO CORO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,1,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,8,3,0,0,11
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,4,0,0,5
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,21,23,5,5,54
EL CHORO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,0,2,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2021-01-01,0,0,0,1,1
