,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,1,0,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,3,5,1,3,12
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,2,1,0,0,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,6,4,3,4,17
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,3,2,0,0,5
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,0,1,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,2,1,0,0,3
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,2,3
POCONA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,2,0,0,0,2
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,1,2
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,1,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,1,2
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,1,1,1,4
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,1,0,1
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,1,3,2,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,1,0,0,0,1
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,18,15,5,2,40
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,pentavalente 2da dosis,2021-01-01,0,0,2,1,3
