,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,1,0,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,1,1,3
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,0,3,3
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,2,3
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,2,0,0,0,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,11,7,0,3,21
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,1,1,1,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,2,0,0,0,2
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,5,9,3,2,19
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,1,2,0,4
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,2,0,1,3
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,2,0,1,4
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,12,3,4,10,29
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,0,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,1,2
OKINAWA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,4,7,0,0,11
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,1,1,1,3
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
POCONA,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,0,1,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,3,3,0,7
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 3ra dosis,2021-01-01,1,1,0,0,2
