municipality,group,variable,month,Nº de certificados únicos para casos de violencia (Ley 348),TOTAL
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,4,4
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,1,1
LORETO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,1,1
PORCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,5,5
SAN JULIAN,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,56,56
TARIJA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-01-01,3,3
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,41,41
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,3,3
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,3,3
TOMINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-02-01,2,2
ACACIO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,2,2
ICLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,3,3
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,2,2
TARABUCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-03-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,5,5
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,3,3
INCAHUASI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,6,6
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,2,2
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,58,58
TOMINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-04-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,4,4
EL TORNO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,13,13
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,1,1
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2021-05-01,2,2
