municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,15,15
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,44,44
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,45,45
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,14,14
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,70,70
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,3,3
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,25,25
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,5,5
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,6,6
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,5,5
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,6,6
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,30,30
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,7,7
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
AYATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,4,4
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,6,6
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,29,29
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,3,3
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,40,40
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,85,85
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,7,7
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,7,7
CAIROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,9,9
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,20,20
CAJUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,7,7
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,6,6
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,47,47
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,8,8
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,20,20
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,34,34
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,42,42
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,12,12
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,8,8
CARIPUYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,26,26
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,5,5
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,14,14
CHACARILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,162,162
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,50,50
CHARAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,36,36
CHAYANTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,37,37
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,68,68
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,39,39
CHUMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,5,5
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,20,20
CLIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,27,27
COBIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,17,17
COCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,100,100
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,31,31
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,4,4
COLOMI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,75,75
COLQUENCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,4,4
COLQUIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,4,4
COMARAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,58,58
COMBAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,40,40
CONCEPCION,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,8,8
COPACABANA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,4,4
CORIPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,1,1
CORO CORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,14,14
COROICO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,10,10
CORQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,40,40
COTAGAITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2021-01-01,56,56
