municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,123,123
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,372,372
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,117,117
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,270,270
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,67,67
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,409,409
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,18,18
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,85,85
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,308,308
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,73,73
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,400,400
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,47,47
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,86,86
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,216,216
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,164,164
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,87,87
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,12,12
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,330,330
AUCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,20,20
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,49,49
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,79,79
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,49,49
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,234,234
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,43,43
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,10,10
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,269,269
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,57,57
BELLA FLOR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,35,35
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,78,78
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,324,324
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,131,131
BOLPEBRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,20,20
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,705,705
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,55,55
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,46,46
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,854,854
CAJUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,12,12
CALACOTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,216,216
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,53,53
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,56,56
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,84,84
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2021-01-01,230,230
