municipality,group,variable,month,Nº de Personas con Discapacidad atendidas en la comunidad,TOTAL
CHALLAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,3,3
GUTIERREZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,3,3
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,7,7
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,3,3
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,8,8
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-02-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,1,1
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,4,4
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-03-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,6,6
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,13,13
COBIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,8,8
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,7,7
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,2,2
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,2,2
MOCOMOCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,2,2
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,5,5
PAILON,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,5,5
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,6,6
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,2,2
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,6,6
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-04-01,3,3
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,2,2
BELLA FLOR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,4,4
CHIMORE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,4,4
MAGDALENA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,4,4
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,2,2
PADILLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,4,4
PAILON,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,2,2
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
TARVITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,2,2
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-05-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,1,1
ALCALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,2,2
APOLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,2,2
CHIMORE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,2,2
CURVA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,1,1
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,3,3
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,2,2
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,1,1
EL VILLAR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,8,8
GUAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,4,4
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,5,5
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2021-06-01,8,8
