municipality,group,variable,month,N° de CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,8,8
ACHOCALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,8,8
AIQUILE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
APOLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
AUCAPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
AYO AYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,28,28
CAIROMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,9,9
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,8,8
CALAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,6,6
CAMIRI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
CAPINOTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
CHAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
CHIPAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,7,7
CKOCHAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,5,5
COCHABAMBA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,7,7
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
COLLANA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
COLQUECHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
COMARAPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
COMBAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
CORO CORO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
COROICO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,7,7
CURVA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,30,30
EL CHORO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
EL TORNO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,6,6
GUAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
HUACHACALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
HUMANATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,5,5
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,5,5
LA ASUNTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,23,23
LAJA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
MALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
MECAPACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
MOJINETE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
MONTERO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
PADILLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,8,8
PALOS BLANCOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,5,5
PATACAMAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,7,7
POCOATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,9,9
PORCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
PORONGO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
PUCARANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
PUNA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
PUNATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
QUILLACOLLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
REYES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,7,7
ROBORE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SACABA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
SACABAMBA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
SACACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,2,2
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,4,4
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SAN JOAQUIN,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
SAN LUCAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2021-01-01,3,3
