municipality,group,variable,month,N°de beneficiarios(as) (niño/as) con educación en Salud Oral,TOTAL
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,10,10
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,144,144
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,5,5
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,5,5
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,4,4
GUTIERREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,2,2
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,18,18
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,92,92
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,3,3
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,35,35
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,30,30
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,10,10
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,77,77
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,18,18
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,6,6
SACACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,4,4
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,8,8
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,76,76
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,70,70
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,318,318
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,798,798
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,27,27
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,177,177
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,18,18
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,6,6
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,41,41
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,111,111
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,17,17
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2021-01-01,37,37
