municipality,group,variable,month,N°de beneficiarios(as) (niño/as) con promoción en Salud Oral,TOTAL
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,395,395
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,8,8
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,5,5
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,8,8
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,30,30
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,65,65
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,35,35
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,11,11
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,77,77
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,18,18
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,6,6
SACACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,3,3
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,8,8
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,76,76
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,70,70
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,404,404
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,675,675
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,27,27
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,30,30
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,13,13
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,35,35
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,13,13
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,111,111
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con promocion en salud oral,2021-01-01,19,19
