municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,26,26
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,338,338
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,30,30
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,139,139
ALALAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,25,25
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,409,409
ANCORAIMES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,78,78
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,106,106
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,99,99
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,159,159
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,37,37
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,20,20
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,171,171
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,95,95
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,12,12
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,329,329
AUCAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,10,10
AYATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,45,45
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,70,70
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,44,44
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,234,234
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,31,31
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,10,10
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,111,111
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,51,51
BELLA FLOR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,19,19
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,53,53
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,326,326
BOLIVAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,28,28
BOLPEBRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,35,35
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,161,161
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,50,50
CAIROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,185,185
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,62,62
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,56,56
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,84,84
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,426,426
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2021-01-01,86,86
