municipality,group,variable,month,Nº de Personas con Discapacidad atendidas en el Establecimiento,TOTAL
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,67,67
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,2,2
GUTIERREZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,12,12
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,6,6
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-01-01,2,2
CHALLAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,64,64
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,2,2
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,52,52
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-02-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,64,64
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,4,4
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,7,7
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,52,52
TUPIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,2,2
UNCIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,40,40
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,62,62
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en el establecimiento,2021-04-01,5,5
