municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ARBIETO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,5,5
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,3,3
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,3,3
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,2,2
MAGDALENA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,3,3
MALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,3,3
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
SANTA ANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,4,4
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,10,10
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,2,2
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-01-01,1,1
ACHOCALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,7,7
AIQUILE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,8,8
CALAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,6,6
ICHOCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,2,2
MALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
PALCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,6,6
SANTA ANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,12,12
SOPACHUY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,11,11
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
TIAHUANACU,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-02-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,4,4
CAIROMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,8,8
CAJUATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,2,2
CALAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,9,9
ICLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,12,12
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,26,26
LURIBAY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,6,6
MALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,15,15
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,3,3
PUNA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,2,2
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,2,2
SANTA ANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,6,6
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,7,7
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,16,16
TARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,3,3
TIAHUANACU,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
TUPIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,2,2
VIACHA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,4,4
VINTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,4,4
WARNES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,2,2
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-03-01,1,1
ACACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,5,5
CAIROMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,34,34
HUANUNI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,10,10
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
LURIBAY,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,2,2
MALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,8,8
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2021-04-01,1,1
