,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,1,0,1,2,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,14,20,6,3,20,23,43
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,11,16,6,26,17,43
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,8,8,5,2,13,10,23
ALCALA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,0,0,0,3,0,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,10,11,1,3,11,14,25
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,6,0,1,3,7,10
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,5,1,4,4,9,13
APOLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,6,3,7,4,13,7,20
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,1,3,1,3,4
ARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,9,5,1,0,10,5,15
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,14,11,2,4,16,15,31
ARQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,3,2,0,0,3,2,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,27,45,1,0,28,45,73
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,2,1,0,0,2,1,3
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2017-01-01,0,0,5,1,5,1,6
