,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,0,0,0,1,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,0,0,3,0,3,0,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,2,2,0,0,2,2,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,2,2,0,0,2,2,4
BAURES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,4,3,0,0,4,3,7
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,0,0,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,2,1,0,0,2,1,3
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,0,1,1,0,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,7,15,0,1,7,16,23
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,5,2,0,0,5,2,7
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,3,3,1,0,4,3,7
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,18,12,7,6,25,18,43
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,75,71,0,0,75,71,146
COLOMI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2017-01-01,1,0,0,0,1,0,1
