,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,1,2,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,15,19,7,5,22,24,46
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,11,16,6,25,17,42
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,8,8,5,2,13,10,23
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,0,0,0,3,0,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,10,11,1,3,11,14,25
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,5,0,0,3,5,8
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,5,1,4,4,9,13
APOLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,6,3,7,4,13,7,20
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,1,0,0,3,1,3,4
ARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,9,5,1,0,10,5,15
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,14,11,2,4,16,15,31
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,3,2,0,0,3,2,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,19,29,0,0,19,29,48
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,2,1,2,1,4,2,6
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2017-01-01,0,0,5,1,5,1,6
