,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,2,0,2,0,2
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,0,1,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,12,22,0,0,12,22,34
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,5,8,0,2,5,10,15
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,2,0,0,0,2,2
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,0,0,0,1,0,1,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1,0,1
