,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,1,3,0,0,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,0,1,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,1,0,0,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,1,0,0,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,3,2,0,0,3,2,5
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,2,1,0,0,2,1,3
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,1,0,2,0,3,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,1,1,1,1,2,3
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,1,0,0,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,1,0,0,1,1,1,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2017-01-01,0,2,0,0,0,2,2
