,group,variable,month,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - D,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA < A 1 AÑO - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - D,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 12 A 23 MESES - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - D,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 2 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - D,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 3 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - D,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,ANTIAMARILICA DOSIS UNICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ACHACACHI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,17,19,5,9,1,1,0,0,0,0,0,0,0,0,0,0,23,29,52
ACHOCALLA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
AIQUILE,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,16,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,23,12,35
ALALAY,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ALCALA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ALTO BENI,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,9,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
ANCORAIMES,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11
ANDAMARCA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ANTEQUERA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4
ANZALDO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
APOLO,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,10,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
ARAMPAMPA,vacunacion en menores  de 5 anos,antiamarilica dosis unica,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
