,group,variable,month,BCG < A 1 AÑO - D,BCG < A 1 AÑO - D,BCG < A 1 AÑO - F,BCG < A 1 AÑO - F,BCG 12 A 23 MESES - D,BCG 12 A 23 MESES - D,BCG 12 A 23 MESES - F,BCG 12 A 23 MESES - F,BCG 2 AÑOS - D,BCG 2 AÑOS - D,BCG 2 AÑOS - F,BCG 2 AÑOS - F,BCG 3 AÑOS - D,BCG 3 AÑOS - D,BCG 3 AÑOS - F,BCG 3 AÑOS - F,BCG 4 AÑOS - D,BCG 4 AÑOS - D,BCG 4 AÑOS - F,BCG 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ACHACACHI,vacunacion en menores  de 5 anos,bcg,2024-01-01,29,13,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,17,56
ACHOCALLA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
AIQUILE,vacunacion en menores  de 5 anos,bcg,2024-01-01,15,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,28
ALALAY,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALCALA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ALTO BENI,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9
ANCORAIMES,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
ANDAMARCA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ANZALDO,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
APOLO,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,17
ARAMPAMPA,vacunacion en menores  de 5 anos,bcg,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ARANI,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
ARBIETO,vacunacion en menores  de 5 anos,bcg,2024-01-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
ARQUE,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13
ASCENCION DE GUARAYOS,vacunacion en menores  de 5 anos,bcg,2024-01-01,28,35,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,68
ATOCHA,vacunacion en menores  de 5 anos,bcg,2024-01-01,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
AUCAPATA,vacunacion en menores  de 5 anos,bcg,2024-01-01,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
