,group,variable,month,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - D,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS < A 1 AÑO - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - D,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 12 A 23 MESES - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 2 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 3 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - D,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,ANTIROTAVIRICA 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ACHACACHI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,22,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,44
ACHOCALLA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
AIQUILE,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,10,12,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,32
ALALAY,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ALTO BENI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,8,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17
ANCORAIMES,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12
ANDAMARCA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ANTEQUERA,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ANZALDO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
APOLO,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,9,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,23
ARANI,vacunacion en menores  de 5 anos,antirotavirica 2da dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
