,group,variable,month,ANTINEUMOCOCICA 3RA DOSIS < A 1 AÑO - D,ANTINEUMOCOCICA 3RA DOSIS < A 1 AÑO - D,ANTINEUMOCOCICA 3RA DOSIS < A 1 AÑO - F,ANTINEUMOCOCICA 3RA DOSIS < A 1 AÑO - F,ANTINEUMOCOCICA 3RA DOSIS 12 A 23 MESES - D,ANTINEUMOCOCICA 3RA DOSIS 12 A 23 MESES - D,ANTINEUMOCOCICA 3RA DOSIS 12 A 23 MESES - F,ANTINEUMOCOCICA 3RA DOSIS 12 A 23 MESES - F,ANTINEUMOCOCICA 3RA DOSIS 2 AÑOS - D,ANTINEUMOCOCICA 3RA DOSIS 2 AÑOS - D,ANTINEUMOCOCICA 3RA DOSIS 2 AÑOS - F,ANTINEUMOCOCICA 3RA DOSIS 2 AÑOS - F,ANTINEUMOCOCICA 3RA DOSIS 3 AÑOS - D,ANTINEUMOCOCICA 3RA DOSIS 3 AÑOS - D,ANTINEUMOCOCICA 3RA DOSIS 3 AÑOS - F,ANTINEUMOCOCICA 3RA DOSIS 3 AÑOS - F,ANTINEUMOCOCICA 3RA DOSIS 4 AÑOS - D,ANTINEUMOCOCICA 3RA DOSIS 4 AÑOS - D,ANTINEUMOCOCICA 3RA DOSIS 4 AÑOS - F,ANTINEUMOCOCICA 3RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ACHACACHI,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,20,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,42
ACHOCALLA,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
AIQUILE,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,5,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
ALCALA,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ALTO BENI,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ANCORAIMES,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ANTEQUERA,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ANZALDO,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
APOLO,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,13,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34
ARAMPAMPA,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARANI,vacunacion en menores  de 5 anos,antineumococica 3ra dosis,2024-01-01,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
