,group,variable,month,PENTAVALENTE 4TA DOSIS < A 1 AÑO - D,PENTAVALENTE 4TA DOSIS < A 1 AÑO - D,PENTAVALENTE 4TA DOSIS < A 1 AÑO - F,PENTAVALENTE 4TA DOSIS < A 1 AÑO - F,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - D,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - D,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - F,PENTAVALENTE 4TA DOSIS 12 A 23 MESES - F,PENTAVALENTE 4TA DOSIS 2 AÑOS - D,PENTAVALENTE 4TA DOSIS 2 AÑOS - D,PENTAVALENTE 4TA DOSIS 2 AÑOS - F,PENTAVALENTE 4TA DOSIS 2 AÑOS - F,PENTAVALENTE 4TA DOSIS 3 AÑOS - D,PENTAVALENTE 4TA DOSIS 3 AÑOS - D,PENTAVALENTE 4TA DOSIS 3 AÑOS - F,PENTAVALENTE 4TA DOSIS 3 AÑOS - F,PENTAVALENTE 4TA DOSIS 4 AÑOS - D,PENTAVALENTE 4TA DOSIS 4 AÑOS - D,PENTAVALENTE 4TA DOSIS 4 AÑOS - F,PENTAVALENTE 4TA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ACHACACHI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,1,0,0,0,14,7,1,1,3,3,0,0,0,1,0,0,0,0,0,0,19,12,31
ACHOCALLA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
AIQUILE,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,9,8,4,2,0,0,0,0,0,1,0,0,0,1,0,0,13,12,25
ALALAY,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ALCALA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ALTO BENI,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
ANCORAIMES,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11
ANDAMARCA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4
ANTEQUERA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,3
ANZALDO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11
APOLO,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,9,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
ARAMPAMPA,vacunacion en menores  de 5 anos,pentavalente 4ta dosis,2024-01-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
