,group,variable,month,PENTAVELENTE 3RA DOSIS < A 1 AÑO - D,PENTAVELENTE 3RA DOSIS < A 1 AÑO - D,PENTAVELENTE 3RA DOSIS < A 1 AÑO - F,PENTAVELENTE 3RA DOSIS < A 1 AÑO - F,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - D,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - D,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - F,PENTAVELENTE 3RA DOSIS 12 A 23 MESES - F,PENTAVELENTE 3RA DOSIS 2 AÑOS - D,PENTAVELENTE 3RA DOSIS 2 AÑOS - D,PENTAVELENTE 3RA DOSIS 2 AÑOS - F,PENTAVELENTE 3RA DOSIS 2 AÑOS - F,PENTAVELENTE 3RA DOSIS 3 AÑOS - D,PENTAVELENTE 3RA DOSIS 3 AÑOS - D,PENTAVELENTE 3RA DOSIS 3 AÑOS - F,PENTAVELENTE 3RA DOSIS 3 AÑOS - F,PENTAVELENTE 3RA DOSIS 4 AÑOS - D,PENTAVELENTE 3RA DOSIS 4 AÑOS - D,PENTAVELENTE 3RA DOSIS 4 AÑOS - F,PENTAVELENTE 3RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ACHACACHI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,21,10,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,17,44
ACHOCALLA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
AIQUILE,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,5,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
ALCALA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ALTO BENI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,12
ANCORAIMES,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ANTEQUERA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ANZALDO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11
APOLO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,13,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34
ARAMPAMPA,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ARANI,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,7,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17
ARBIETO,vacunacion en menores  de 5 anos,pentavelente 3ra dosis,2024-01-01,10,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,27
