,group,variable,month,SRP 1RA DOSIS < A 1 AÑO - D,SRP 1RA DOSIS < A 1 AÑO - D,SRP 1RA DOSIS < A 1 AÑO - F,SRP 1RA DOSIS < A 1 AÑO - F,SRP 1RA DOSIS 12 A 23 MESES - D,SRP 1RA DOSIS 12 A 23 MESES - D,SRP 1RA DOSIS 12 A 23 MESES - F,SRP 1RA DOSIS 12 A 23 MESES - F,SRP 1RA DOSIS 2 AÑOS - D,SRP 1RA DOSIS 2 AÑOS - D,SRP 1RA DOSIS 2 AÑOS - F,SRP 1RA DOSIS 2 AÑOS - F,SRP 1RA DOSIS 3 AÑOS - D,SRP 1RA DOSIS 3 AÑOS - D,SRP 1RA DOSIS 3 AÑOS - F,SRP 1RA DOSIS 3 AÑOS - F,SRP 1RA DOSIS 4 AÑOS - D,SRP 1RA DOSIS 4 AÑOS - D,SRP 1RA DOSIS 4 AÑOS - F,SRP 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,17,19,5,9,1,1,0,0,0,0,0,0,0,0,0,0,23,29,52
ACHOCALLA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,6
AIQUILE,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,16,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,23,12,35
ALALAY,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ALCALA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ALTO BENI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,9,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,19
ANCORAIMES,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11
ANDAMARCA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ANTEQUERA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4
ANZALDO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
APOLO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,10,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,13,8,21
ARAMPAMPA,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
ARANI,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
ARBIETO,vacunacion en menores  de 5 anos,srp 1ra dosis,2024-01-01,0,0,0,0,14,26,3,4,0,0,0,0,0,0,0,0,0,0,0,0,17,30,47
