,group,variable,month,PENTAVALENTE 5TA DOSIS < A 1 AÑO - D,PENTAVALENTE 5TA DOSIS < A 1 AÑO - D,PENTAVALENTE 5TA DOSIS < A 1 AÑO - F,PENTAVALENTE 5TA DOSIS < A 1 AÑO - F,PENTAVALENTE 5TA DOSIS 12 A 23 MESES - D,PENTAVALENTE 5TA DOSIS 12 A 23 MESES - D,PENTAVALENTE 5TA DOSIS 12 A 23 MESES - F,PENTAVALENTE 5TA DOSIS 12 A 23 MESES - F,PENTAVALENTE 5TA DOSIS 2 AÑOS - D,PENTAVALENTE 5TA DOSIS 2 AÑOS - D,PENTAVALENTE 5TA DOSIS 2 AÑOS - F,PENTAVALENTE 5TA DOSIS 2 AÑOS - F,PENTAVALENTE 5TA DOSIS 3 AÑOS - D,PENTAVALENTE 5TA DOSIS 3 AÑOS - D,PENTAVALENTE 5TA DOSIS 3 AÑOS - F,PENTAVALENTE 5TA DOSIS 3 AÑOS - F,PENTAVALENTE 5TA DOSIS 4 AÑOS - D,PENTAVALENTE 5TA DOSIS 4 AÑOS - D,PENTAVALENTE 5TA DOSIS 4 AÑOS - F,PENTAVALENTE 5TA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
ACHACACHI,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,9,6,20,21,41
ACHOCALLA,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
AIQUILE,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,8,13
ALALAY,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
ALCALA,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ALTO BENI,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,5,7,12
ANCORAIMES,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,2,5
ANDAMARCA,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,4
ANTEQUERA,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2,5,7
ANZALDO,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
APOLO,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,7,6,12,18
ARAMPAMPA,vacunacion en menores  de 5 anos,pentavalente 5ta dosis,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
