,group,variable,month,ANTINEUMOCOCICA 1RA DOSIS < A 1 AÑO - D,ANTINEUMOCOCICA 1RA DOSIS < A 1 AÑO - D,ANTINEUMOCOCICA 1RA DOSIS < A 1 AÑO - F,ANTINEUMOCOCICA 1RA DOSIS < A 1 AÑO - F,ANTINEUMOCOCICA 1RA DOSIS 12 A 23 MESES - D,ANTINEUMOCOCICA 1RA DOSIS 12 A 23 MESES - D,ANTINEUMOCOCICA 1RA DOSIS 12 A 23 MESES - F,ANTINEUMOCOCICA 1RA DOSIS 12 A 23 MESES - F,ANTINEUMOCOCICA 1RA DOSIS 2 AÑOS - D,ANTINEUMOCOCICA 1RA DOSIS 2 AÑOS - D,ANTINEUMOCOCICA 1RA DOSIS 2 AÑOS - F,ANTINEUMOCOCICA 1RA DOSIS 2 AÑOS - F,ANTINEUMOCOCICA 1RA DOSIS 3 AÑOS - D,ANTINEUMOCOCICA 1RA DOSIS 3 AÑOS - D,ANTINEUMOCOCICA 1RA DOSIS 3 AÑOS - F,ANTINEUMOCOCICA 1RA DOSIS 3 AÑOS - F,ANTINEUMOCOCICA 1RA DOSIS 4 AÑOS - D,ANTINEUMOCOCICA 1RA DOSIS 4 AÑOS - D,ANTINEUMOCOCICA 1RA DOSIS 4 AÑOS - F,ANTINEUMOCOCICA 1RA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
ACHACACHI,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,12,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,32
ACHOCALLA,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AIQUILE,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,21,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,40
ALALAY,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALCALA,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALTO BENI,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
ANCORAIMES,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
ANDAMARCA,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
ANTEQUERA,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ANZALDO,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
APOLO,vacunacion en menores  de 5 anos,antineumococica 1ra dosis,2024-01-01,15,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,36
