,group,variable,month,SRP 2DA DOSIS < A 1 AÑO - D,SRP 2DA DOSIS < A 1 AÑO - D,SRP 2DA DOSIS < A 1 AÑO - F,SRP 2DA DOSIS < A 1 AÑO - F,SRP 2DA DOSIS 12 A 23 MESES - D,SRP 2DA DOSIS 12 A 23 MESES - D,SRP 2DA DOSIS 12 A 23 MESES - F,SRP 2DA DOSIS 12 A 23 MESES - F,SRP 2DA DOSIS 2 AÑOS - D,SRP 2DA DOSIS 2 AÑOS - D,SRP 2DA DOSIS 2 AÑOS - F,SRP 2DA DOSIS 2 AÑOS - F,SRP 2DA DOSIS 3 AÑOS - D,SRP 2DA DOSIS 3 AÑOS - D,SRP 2DA DOSIS 3 AÑOS - F,SRP 2DA DOSIS 3 AÑOS - F,SRP 2DA DOSIS 4 AÑOS - D,SRP 2DA DOSIS 4 AÑOS - D,SRP 2DA DOSIS 4 AÑOS - F,SRP 2DA DOSIS 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,4,3,7
ACHACACHI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,15,7,1,1,3,3,0,0,0,1,0,0,0,1,0,0,19,13,32
ACHOCALLA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
AIQUILE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,9,8,4,2,0,0,0,0,0,1,0,0,0,1,0,0,13,12,25
ALALAY,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ALCALA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
ALTO BENI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,11
ANCORAIMES,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
ANDAMARCA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
ANZALDO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
APOLO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,9,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21
ARAMPAMPA,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,3
ARANI,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7
ARBIETO,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,15,12,1,2,0,0,1,0,2,0,0,0,0,1,0,0,19,15,34
ARQUE,vacunacion en menores  de 5 anos,srp 2da dosis,2024-01-01,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
