,group,variable,month,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA < A 1 AÑO - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 12 A 23 MESES - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 2 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 3 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - D,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - F,INFLUENZA ESTACIONAL A NIÑOS CON ENFERMEDAD CRONICA 4 AÑOS - F,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
EL ALTO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-01-01,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,3,0,0,0,7,4,11
RIBERALTA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,2,0,10,10
SANTA CRUZ DE LA SIERRA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-01-01,0,0,0,0,0,0,0,0,6,6,0,0,6,5,0,0,8,6,0,0,20,17,37
SANTA ROSA DEL SARA,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
LA PAZ,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-02-01,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4
PORTACHUELO,vacunacion en menores  de 5 anos,influenza estacional a ninos con enfermedad cronica,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
