,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,1,1,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,7,10,7,3,14,13,27
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,8,19,1,0,9,19,28
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,4,5,4,3,8,8,16
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,8,5,1,5,9,10,19
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,5,4,1,1,6,5,11
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,5,0,1,2,6,2,8
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,2,3,0,0,2,3,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,0,0,4,10,4,10,14
APOLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,18,9,1,1,19,10,29
ARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,3,3,1,2,4,5,9
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,19,12,3,5,22,17,39
ARQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,2,4,5,7,7,11,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,25,23,8,11,33,34,67
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,3,3,6,6,9,9,18
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2021-01-01,1,5,1,0,2,5,7
