,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,1,0,0,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,2,0,0,0,2,2
ARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,1,2,1,3,4
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,0,2,4,2,4,6
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,2,0,0,0,2,0,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 2da dosis,2021-01-01,0,1,1,0,1,1,2
