,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,1,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,1,0,1,2,2,2,4
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,1,1,1,0,2,1,3
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,1,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,1,0,0,0,1,1
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,7,4,2,0,9,4,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,1,0,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,0,1,3,1,3,4
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,0,4,5,4,5,9
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,1,0,0,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,1,1,1,2,2,3,5
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 1ra dosis,2021-01-01,8,3,3,1,11,4,15
