,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,5,11,7,15,12,27
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,11,8,0,1,11,9,20
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,8,5,7,14,15,29
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,3,5,3,5,8
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,0,1,1,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,6,4,1,2,7,6,13
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,9,6,1,1,10,7,17
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,4,9,3,3,7,12,19
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,4,0,0,2,4,6
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,1,1,0,0,1,1,2
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,8,9,5,4,13,13,26
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,0,1,3,3,6
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,32,31,2,3,34,34,68
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,1,1,4,3,7
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,2,4,0,0,2,4,6
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2021-01-01,3,2,4,1,7,3,10
