,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,0,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,0,2,0,0,0,2,2
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,3,1,2,0,5,1,6
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,6,6,1,0,7,6,13
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,5,10,0,2,5,12,17
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,0,0,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,1,1,2,3,3,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,0,0,0,1,0,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,1,1,0,0,1,1,2
CABEZAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,12,4,2,0,14,4,18
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,2,2,4,1,6,3,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,4,5,0,0,4,5,9
CARANAVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,18,17,0,0,18,17,35
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,10,6,6,5,16,11,27
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2021-01-01,4,5,3,4,7,9,16
