,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,1,1,0,0,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,13,7,3,15,16,31
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,19,2,0,10,19,29
AIQUILE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,4,5,4,3,8,8,16
ALALAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,1,0,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,8,5,1,5,9,10,19
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,4,1,1,6,5,11
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,5,0,1,2,6,2,8
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,3,0,0,2,3,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,0,4,9,4,9,13
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,18,9,1,1,19,10,29
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,0,1,2,2,2,3,5
ARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,3,3,1,2,4,5,9
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,19,11,3,4,22,15,37
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,2,4,5,7,7,11,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,22,22,8,11,30,33,63
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2021-01-01,7,8,7,6,14,14,28
